passage_id,source,lines,confidence,source_most_recent_date,nearest_prior_date,passage_dates,file_version_signal,nearest_prior_version,passage_versions
NATHAN-000001, O Addendum Proto-Candyface + Antiquer Mashup.txt,15-16,likely,2072,,,,,
NATHAN-000002, O Addendum Proto-Candyface + Antiquer Mashup.txt,17-18,likely,2072,,,,,
NATHAN-000003, O Addendum Proto-Candyface + Antiquer Mashup.txt,19-20,likely,2072,,,,,
NATHAN-000004, O Addendum Proto-Candyface + Antiquer Mashup.txt,21-22,likely,2072,,,,,
NATHAN-000005, O Addendum Proto-Candyface + Antiquer Mashup.txt,23-24,likely,2072,,,,,
NATHAN-000006, O Addendum Proto-Candyface + Antiquer Mashup.txt,25-26,likely,2072,,,,,
NATHAN-000007, O Addendum Proto-Candyface + Antiquer Mashup.txt,27-28,likely,2072,,,,,
NATHAN-000008, O Addendum Proto-Candyface + Antiquer Mashup.txt,29-30,likely,2072,,,,,
NATHAN-000009, O Addendum Proto-Candyface + Antiquer Mashup.txt,31-34,likely,2072,,,,,
NATHAN-000010, O Addendum Proto-Candyface + Antiquer Mashup.txt,35-36,likely,2072,,,,,
NATHAN-000011, O Addendum Proto-Candyface + Antiquer Mashup.txt,37-38,likely,2072,,,,,
NATHAN-000012, O Addendum Proto-Candyface + Antiquer Mashup.txt,39-40,likely,2072,,,,,
NATHAN-000013, O Addendum Proto-Candyface + Antiquer Mashup.txt,41-42,likely,2072,,,,,
NATHAN-000014, O Addendum Proto-Candyface + Antiquer Mashup.txt,43-44,likely,2072,,,,,
NATHAN-000015, O Addendum Proto-Candyface + Antiquer Mashup.txt,45-46,likely,2072,,,,,
NATHAN-000016, O Addendum Proto-Candyface + Antiquer Mashup.txt,47-48,likely,2072,,,,,
NATHAN-000017, O Addendum Proto-Candyface + Antiquer Mashup.txt,49-62,likely,2072,,,,,
NATHAN-000018, O Addendum Proto-Candyface + Antiquer Mashup.txt,63-64,likely,2072,,,,,
NATHAN-000019, O Addendum Proto-Candyface + Antiquer Mashup.txt,65-66,likely,2072,,,,,
