path,file_type,size_bytes,lines,status,labels,date_signals,version_signals,extracted_passages,review_candidates,warning
 O Addendum Proto-Candyface + Antiquer Mashup.txt,.txt,30410,203,scanned,Image; https,2072,,75,0,
 R Addendum Proto-TankAudrey.txt,.txt,34308,220,scanned,,1959; 1978; 2019,,0,0,
000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,.txt,95672,651,scanned,ChatGPT said; Example 1; Example 2; First; Now take two statements about these phenomena; Pair 1; Pair 2; Proposition 1; Proposition 2; Rule of Thumb; Second; Statement 1; Statement 2; The mind-body problem; The problem of free will; The problem of induction; The problem of skepticism; What if we consider two false statements; You said,,SAT_RMS,84,0,
000 Earliest SAT_RMS/002 Forces Across Temporal Points - to 8-13-24.txt,.txt,3913,38,scanned,ChatGPT said; Conclusion; Quantum Mechanics; You said,,SAT_RMS,3,0,
000 Earliest SAT_RMS/002. Discreet Space and Dark Matter.txt,.txt,19761,301,scanned,Alternative Theories; ChatGPT said; Consistency with General Relativity; Cosmic Structure Formation; Cosmological Simulations; Current Consensus; Dark Matter Detection; Dark Matter Halo Models; Dark Matter Models; Dark Matter as Matter; Direct Detection; Distance-Dependent Mass Term; Effective Field Theories; Effective Mass Terms; Emergent Gravity; Empirical Fitting; Empirical Fitting with Modified Gravity Theories; Empirical Predictions; Evidence for Dark Matter; Extra Dimensions or New Physics; Galactic Rotation Curves; Galactic Rotation Curves vs. Cluster Dynamics; Geometric Distortions; Gravitational Effects; Gravitational Lensing; Gravitational Potential Contribution; Halo Models; Indirect Detection; Large-Scale Structure; Modified Gravitational Theory; Modified Gravity Theories; Nature of Dark Matter; Non-uniformity in Space-Time Structure; Numerical Simulations; Quantum Fluctuations; Simulations; Space as a Property Mimicking Mass; Testing Alternative Theories; Testing Dark Matter Models; Testing and Refining Models; What We Know; You said; to incorporate dark matter,,SAT_RMS,41,0,
000 Earliest SAT_RMS/003 Personality Test Summary.txt,.txt,22009,547,scanned,Agreeableness; Analytical Skills; Balanced Social Engagement; Breadth; Breadth and Depth of Knowledge; ChatGPT said; Collaborative and Empathetic; Complex Thought; Complex Thought Processes; Complexity; Conscientiousness; Considerate Approach; Consistent Exploration; Context-Dependence; Creative Projects; Creativity; Creativity and Innovation; Critical Thinking and Skepticism; Emotional Stability; Enneagram; Extraversion; Fluid Approach to Projects; Generates Ideas; Granularity; HEXACO Model; Imagination and Creativity; Inquisitiveness; Limitations; Low Worry and Stress Reaction; Mild-Mannered; More information about the science behind this survey can be found here; Neuroticism; Openness to Experience; Reading; Self-Report Bias; Steadiness; Strengths; Unconventionality; Understanding; Valuing Unique Achievements; You said; Your Interests,2010,SAT_RMS,48,0,
000 Earliest SAT_RMS/Code-Like Text Style Emulation - bellomy - to Oct-2023.txt,.txt,145560,1098,scanned,Can you rewrite the following as an early darkroom recipe guide; ChatGPT said; Cratoon; Darkroom Recipe; Description; Episode Title; In Indian slang English; In alter hochdeutscher Sprache; Ingredients; Instructions; Memory Developer Recipe; Memory Mosaic Recipe; Title; Yn it Frysk; You said; cratoon; std,2022; 2023,SAT_RMS,110,0,
000 Earliest SAT_RMS/Hosts Aiden and Maya/aiden and maya 2.txt,.txt,8334,217,scanned,Aiden; Alien; ChatGPT said; Maya; Panel 1; Panel 2; Panel 3; Panel 4; Panel 5; Panel 6; Panel 7; Panel 8; Panel 9; You said,,SAT_RMS,89,0,
000 Earliest SAT_RMS/Hosts Aiden and Maya/AIDEN AND MAYA SHOW.txt,.txt,7115,24,scanned,CONCEPT; DRAMATIS PERSONAE; NATHAN MCKNIGHT; NOTEBOOKLM; WORKFLOW,,SAT_RMS,3,0,
000 Earliest SAT_RMS/Hosts Aiden and Maya/EPISODE ONE SCRIPT.txt,.txt,9576,78,scanned,AIDEN; ChatGPT said; Conclusion; EPISODE 1; Equivalence Principle; MAYA; Narrative Track; Nathan McKnight said; PART 1; PART 2; PART 3; PART 4; PART 5; PART I; Quantum Mechanics; Unknown vs. Unknowable,"2024; February 4, 2024; March 18, 2024",SAT_RMS,23,0,
000 Earliest SAT_RMS/Hosts Aiden and Maya/fun break - lx.txt,.txt,201497,3371,scanned,African diaspora German; Alemannisch; And an unrelated language for you to follow; And for your followup turn; Another repeat; Argentine German; As for your new turn; Bairisch; Balinese; Baltics; Banat Swabian; Belgranodeutsch; Borussia; Brazilian German; Bread; Brother; Burgundian; Central Germanic languages; ChatGPT said; Cheruscan; Chinese German; Coptic; Danish; Dutch; Dutch-German dialect continuum; East Germanic languages; Example sentence in Bukovina German; Example sentence in Burgenland Croatian German; Example sentence in Chinese German; Example sentence in Indonesian German; Example sentence in Russian German; Example sentences in Plautdietsch; Example sentences in Texas German; Faroese; Father; Filipino German; Finno-Ugric regions; For you to follow up; For your follow up; Frisian; German; German diaspora varieties; Gothic; Greece and Cyprus; Gulf Arabic; Gutnish; Heart; Here are a few example sentences in Russenorsk; Here are some example sentences in Chinese German; Here are some language names you seem to keep going back to; High Alemannic dialects; House; Hutterite German; I apologize for the repetition. How about this one; I met mark okrand actually; Icelandic; Indian German; Indian Sign Language; Indonesian German; Ingush; Israeli Sign Language; It is a tonal language with three tones; Itelman; Japanese German; Japanese Sign Language; Langobardic; Livonian; Lombardic; Malta; Manchu; Marathi; Mari; Miao; Middle English; Middle High German; Modern English; Modern German; Moderne Hochsprache; Moon; Mother; Moving in; Mozarabic; Namibian German; Nenets; Night; Norn; North Germanic languages; Norwegian; Note; Oak; Ob die Glieder leiden; Old Bulgur; Old Church Slavonic; Old Danish; Old Dutch; Old English; Old Frisian; Old Gutnish; Old High Franconian; Old High German,1914; 1918; 1975; 1989; 1992; 2001; 2021,SAT_RMS,677,0,
000 Earliest SAT_RMS/Hosts Aiden and Maya/MAYA&AIDEN.txt,.txt,2831,18,scanned,,,SAT_RMS,0,0,
